Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0014529,0.00010071,0.32599,0,0,0,105.32,0.72749,-0.00017765,0.00069,0.60255,-4.7341E-05,1.2317,0,0,0,0,0,0,package://humanoid_robotics_12_18/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://humanoid_robotics_12_18/meshes/base_link.STL,,装配体base上半身-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Left_leg_yaw_link,-0.046592,0.00051289,-0.051037,0,0,0,2.5226,0.0031094,-3.8928E-08,-1.5337E-05,0.0025159,7.4856E-08,0.002455,0,0,0,0,0,0,package://humanoid_robotics_12_18/meshes/Left_leg_yaw_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://humanoid_robotics_12_18/meshes/Left_leg_yaw_link.STL,,left髋关节转动-1,left_leg_yaw_link,A_left_leg_yaw_link,Left_leg_yaw_joint,revolute,-0.0017724,0.11756,-0.0305,0,0,0,base_link,0,0,1,0,0,-0.1745,0.6981,,,,,,,,
Left_leg_roll_link,0.00286691378392812,5.05075875678607E-07,-0.00358350530205837,0,0,0,1.18910225203279,0.00104048296425118,-1.809382054992E-11,5.86489355651122E-06,0.00101545488851295,-1.07643615737301E-12,0.000851517280147221,0,0,0,0,0,0,package://humanoid_robotics_12_18/meshes/Left_leg_roll_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://humanoid_robotics_12_18/meshes/Left_leg_roll_link.STL,,left髋关节左右摆动-1,left_leg_roll_link,A_left_leg_roll_link,Left_leg_roll_joint,revolute,0,0,-0.079,0,0,0,Left_leg_yaw_link,1,0,0,0,0,-0.5236,0.5236,,,,,,,,
Left_leg_pitch_link,-0.0061926,0.0056957,-0.19014,0,0,0,6.0274,0.036866,-7.9444E-06,-0.00019125,0.037731,5.8406E-06,0.0035698,0,0,0,0,0,0,package://humanoid_robotics_12_18/meshes/Left_leg_pitch_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://humanoid_robotics_12_18/meshes/Left_leg_pitch_link.STL,,装配体Left_leg_Pitch-1,left_leg_pitch_link,A_left_leg_pitch_link,Left_leg_pitch_joint,revolute,3.1428E-05,0.00025494,-0.073014,0,0,0,Left_leg_roll_link,0,1,0,0,0,-1.6581,0.2618,,,,,,,,
Left_knee_pitch_link,0.039352,0.0014327,-0.14512,0,0,0,3.4821,0.015062,1.4387E-06,-0.00088792,0.015081,4.3724E-05,0.0013185,0,0,0,0,0,0,package://humanoid_robotics_12_18/meshes/Left_knee_pitch_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://humanoid_robotics_12_18/meshes/Left_knee_pitch_link.STL,,装配体5^整体图-1,left_knee_pitch_link,A_left_knee_pitch_link,Left_knee_pitch_joint,revolute,0,-1.0982E-05,-0.38999,0,0,0,Left_leg_pitch_link,0,-1,0,0,0,0.0873,2.1817,,,,,,,,
Left_ankle_roll_link,-0.00166275719253539,-0.00191098684254679,2.19470970594937E-05,0,0,0,0.127991015520444,2.76168285521098E-05,4.52029447447453E-09,-4.99883955559616E-09,1.00911874257359E-05,3.84489479269256E-09,3.29072484308486E-05,0,0,0,0,0,0,package://humanoid_robotics_12_18/meshes/Left_ankle_roll_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://humanoid_robotics_12_18/meshes/Left_ankle_roll_link.STL,,Right_Ankle_Roll-2,left_ankle_roll_link,A_left_ankle_roll_link,Left_ankle_roll_joint,revolute,-3.4425E-05,-0.00024396,-0.34,0,0,0,Left_knee_pitch_link,1,0,0,0,0,-0.6981,0.4363,,,,,,,,
Left_ankle_pitch_link,0.040343,-3.0594E-06,-0.076403,0,0,0,1.4745,0.0015417,-3.2113E-06,6.4311E-05,0.0055056,1.3298E-06,0.0067755,0,0,0,0,0,0,package://humanoid_robotics_12_18/meshes/Left_ankle_pitch_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://humanoid_robotics_12_18/meshes/Left_ankle_pitch_link.STL,,装配体6^整体图-1,left_ankle_pitch_link,A_left_ankle_pitch_link,Left_ankle_pitch_joint,revolute,0,0,0,0,0,0,Left_ankle_roll_link,0,1,0,0,0,-0.5236,0.5236,,,,,,,,
Right_leg_yaw_link,-0.046592,-0.00051289,-0.051039,0,0,0,2.5226,0.0031096,-3.1828E-07,-1.5364E-05,0.0025158,7.465E-08,0.002455,0,0,0,0,0,0,package://humanoid_robotics_12_18/meshes/Right_leg_yaw_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://humanoid_robotics_12_18/meshes/Right_leg_yaw_link.STL,,右髋关节转动-1,right_leg_yaw_link,A_right_leg_yaw_link,Right_leg_yaw_joint,revolute,-0.0017724,-0.11744,-0.0305,0,0,0,base_link,0,0,1,0,0,-0.6981,0.1745,,,,,,,,
Right_leg_roll_link,0.0028669,2.2505E-07,-0.0035835,0,0,0,1.1891,0.0010405,-1.8094E-11,5.8649E-06,0.0010155,-1.0764E-12,0.00085152,0,0,0,0,0,0,package://humanoid_robotics_12_18/meshes/Right_leg_roll_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://humanoid_robotics_12_18/meshes/Right_leg_roll_link.STL,,右髋关节左右摆动-1,right_leg_roll_link,A_right_leg_roll_link,Right_leg_roll_joint,revolute,0,0,-0.079,0,0,0,Right_leg_yaw_link,-1,0,0,0,0,-0.5236,0.5236,,,,,,,,
Right_leg_pitch_link,-0.0065874,0.0056957,-0.18975,0,0,0,6.0274,0.036868,-7.9475E-06,-0.00018442,0.037731,5.8454E-06,0.0035673,0,0,0,0,0,0,package://humanoid_robotics_12_18/meshes/Right_leg_pitch_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://humanoid_robotics_12_18/meshes/Right_leg_pitch_link.STL,,装配体Right_leg_Pitch^整体图-1,right_leg_pitch_link,A_right_leg_pitch_link,Right_leg_pitch_joint,revolute,3.1428E-05,0.00025494,-0.073014,0,0,0,Right_leg_roll_link,0,1,0,0,0,-1.6581,0.2618,,,,,,,,
Right_knee_pitch_link,0.041825,0.00022321,-0.1421,0,0,0,3.4821,0.015067,1.451E-07,-0.00081282,0.015081,1.5531E-05,0.0013136,0,0,0,0,0,0,package://humanoid_robotics_12_18/meshes/Right_knee_pitch_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://humanoid_robotics_12_18/meshes/Right_knee_pitch_link.STL,,装配体Right_knee_pitch^整体图-1,right_knee_pitch_link,A_right_knee_pitch_link,Right_knee_pitch_joint,revolute,0,-1.0982E-05,-0.38999,0,0,0,Right_leg_pitch_link,0,-1,0,0,0,0.0873,2.1817,,,,,,,,
Right_ankle_roll_link,-0.0016628,-0.001911,2.1947E-05,0,0,0,0.12799,2.7617E-05,4.5203E-09,-4.9988E-09,1.0091E-05,3.8449E-09,3.2907E-05,0,0,0,0,0,0,package://humanoid_robotics_12_18/meshes/Right_ankle_roll_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://humanoid_robotics_12_18/meshes/Right_ankle_roll_link.STL,,Right_Ankle_Roll-1,right_ankle_roll_link,A_right_ankle_roll_link,Right_ankle_roll_joint,revolute,-3.4425E-05,-0.00024396,-0.34,0,0,0,Right_knee_pitch_link,1,0,0,0,0,-0.6981,0.4363,,,,,,,,
Right_ankle_pitch_link,0.040343,2.8649E-06,-0.076401,0,0,0,1.4745,0.0015417,-3.2114E-06,6.4311E-05,0.0055062,-2.0184E-07,0.0067749,0,0,0,0,0,0,package://humanoid_robotics_12_18/meshes/Right_ankle_pitch_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://humanoid_robotics_12_18/meshes/Right_ankle_pitch_link.STL,,装配体Right_Foot_Pitch-2,right_ankle_pitch_link,A_right_ankle_pitch_link,Right_ankle_pitch_joint,revolute,0,0,0,0,0,0,Right_ankle_roll_link,0,1,0,0,0,-0.5236,0.5236,,,,,,,,
